prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,4,64,14.4747
16,16,4,128,15.9573
16,16,4,256,19.1673
16,16,4,512,20.682
16,16,4,1024,22.0373
16,16,4,2048,29.4293
16,16,4,4096,42.283
16,16,4,8192,63.5947
16,16,4,16384,105.077
16,16,8,16,14.837
16,16,8,32,14.88
16,16,8,64,14.8373
16,16,8,128,16.3093
16,16,8,256,19.3067
16,16,8,512,22.666
16,16,8,1024,28.8533
16,16,8,2048,41.4823
16,16,8,4096,63.274
16,16,8,8192,105.535
16,16,8,16384,189.28
16,16,16,16,15.0933
16,16,16,32,15.1357
16,16,16,64,15.349
16,16,16,128,16.6187
16,16,16,256,19.637
16,16,16,512,29.6217
16,16,16,1024,42.1657
16,16,16,2048,63.2957
16,16,16,4096,105.674
16,16,16,8192,189.919
16,16,16,16384,358.164
16,16,32,16,15.605
16,16,32,32,15.7863
16,16,32,64,16.3837
16,16,32,128,18.2937
16,16,32,256,25.034
16,16,32,512,41.9203
16,16,32,1024,62.965
16,16,32,2048,104.47
16,16,32,4096,189.631
16,16,32,8192,360.468
16,16,32,16384,697.309
16,16,64,16,20.821
16,16,64,32,21.024
16,16,64,64,22.453
16,16,64,128,29.2047
16,16,64,256,39.9473
16,16,64,512,68.064
16,16,64,1024,110.826
16,16,64,2048,194.783
16,16,64,4096,361.194
16,16,64,8192,697.47
16,16,64,16384,1370.32
16,16,128,16,31.1043
16,16,128,32,31.2963
16,16,128,64,33.6637
16,16,128,128,45.1627
16,16,128,256,66.4643
16,16,128,512,116.64
16,16,128,1024,201.259
16,16,128,2048,365.887
16,16,128,4096,703.486
16,16,128,8192,1378.09
16,16,128,16384,2720.1
16,32,0,0,14.4317
16,32,1,16,14.378
16,32,1,32,14.4643
16,32,1,64,14.7413
16,32,1,128,15.765
16,32,1,256,18.922
16,32,1,512,20.0103
16,32,1,1024,20.5547
16,32,1,2048,20.96
16,32,1,4096,24.213
16,32,1,8192,30.9117
16,32,1,16384,43.594
16,32,2,16,14.324
16,32,2,32,14.304
16,32,2,64,14.1867
16,32,2,128,15.829
16,32,2,256,18.6563
16,32,2,512,19.8293
16,32,2,1024,20.8533
16,32,2,2048,22.773
16,32,2,4096,30.112
16,32,2,8192,41.8453
16,32,2,16384,63.0827
16,32,4,16,14.3787
16,32,4,32,14.549
16,32,4,64,14.7523
16,32,4,128,16.1277
16,32,4,256,19.0937
16,32,4,512,20.4153
16,32,4,1024,22.624
16,32,4,2048,29.4823
16,32,4,4096,42.08
16,32,4,8192,63.2533
16,32,4,16384,104.875
16,32,8,16,14.7847
16,32,8,32,14.7623
16,32,8,64,14.848
16,32,8,128,16.4803
16,32,8,256,19.3493
16,32,8,512,22.6663
16,32,8,1024,29.8457
16,32,8,2048,41.7167
16,32,8,4096,62.88
16,32,8,8192,105.29
16,32,8,16384,189.674
16,32,16,16,15.008
16,32,16,32,15.104
16,32,16,64,15.2847
16,32,16,128,16.6083
16,32,16,256,20.0213
16,32,16,512,28.9393
16,32,16,1024,41.482
16,32,16,2048,62.6343
16,32,16,4096,105.717
16,32,16,8192,190.144
16,32,16,16384,359.402
16,32,32,16,15.659
16,32,32,32,15.712
16,32,32,64,16.0637
16,32,32,128,18.4107
16,32,32,256,25.141
16,32,32,512,41.3757
16,32,32,1024,63.3917
16,32,32,2048,105.749
16,32,32,4096,191.36
16,32,32,8192,359.669
16,32,32,16384,697.342
16,32,64,16,21.024
16,32,64,32,20.9713
16,32,64,64,22.581
16,32,64,128,29.642
16,32,64,256,39.8727
16,32,64,512,67.3387
16,32,64,1024,111.349
16,32,64,2048,194.175
16,32,64,4096,361.054
16,32,64,8192,697.727
16,32,64,16384,1372.5
16,32,128,16,31.2223
16,32,128,32,31.3807
16,32,128,64,33.7707
16,32,128,128,45.9737
16,32,128,256,67.1143
16,32,128,512,117.141
16,32,128,1024,201.035
16,32,128,2048,366.143
16,32,128,4096,703.529
16,32,128,8192,1380.4
16,32,128,16384,2721.75
16,64,0,0,14.507
16,64,1,16,14.5387
16,64,1,32,14.4637
16,64,1,64,14.6663
16,64,1,128,15.8723
16,64,1,256,18.784
16,64,1,512,20.0423
16,64,1,1024,21.152
16,64,1,2048,21.0457
16,64,1,4096,24.224
16,64,1,8192,30.592
16,64,1,16384,44.3733
16,64,2,16,14.3787
16,64,2,32,14.3997
16,64,2,64,14.485
16,64,2,128,15.7227
16,64,2,256,18.8473
16,64,2,512,20.128
16,64,2,1024,20.757
16,64,2,2048,23.1467
16,64,2,4096,29.9087
16,64,2,8192,41.408
16,64,2,16384,62.9437
16,64,4,16,14.4427
16,64,4,32,14.3567
16,64,4,64,14.592
16,64,4,128,16.032
16,64,4,256,18.8807
16,64,4,512,20.6503
16,64,4,1024,22.7633
16,64,4,2048,29.1313
16,64,4,4096,41.46
16,64,4,8192,63.3917
16,64,4,16384,104.512
16,64,8,16,14.7307
16,64,8,32,14.688
16,64,8,64,14.9867
16,64,8,128,16.5657
16,64,8,256,19.3927
16,64,8,512,22.9653
16,64,8,1024,29.5887
16,64,8,2048,41.9087
16,64,8,4096,63.0933
16,64,8,8192,105.856
16,64,8,16384,189.535
16,64,16,16,15.072
16,64,16,32,15.04
16,64,16,64,15.2
16,64,16,128,16.5223
16,64,16,256,19.8507
16,64,16,512,28.8
16,64,16,1024,41.1837
16,64,16,2048,63.4453
16,64,16,4096,105.376
16,64,16,8192,190.623
16,64,16,16384,359.817
16,64,32,16,15.53
16,64,32,32,15.7863
16,64,32,64,16.0957
16,64,32,128,18.9433
16,64,32,256,25.173
16,64,32,512,40.9067
16,64,32,1024,62.912
16,64,32,2048,104.928
16,64,32,4096,191.104
16,64,32,8192,359.669
16,64,32,16384,697.235
16,64,64,16,21.034
16,64,64,32,20.9917
16,64,64,64,23.1677
16,64,64,128,29.2267
16,64,64,256,39.7863
16,64,64,512,67.083
16,64,64,1024,112.406
16,64,64,2048,194.944
16,64,64,4096,359.955
16,64,64,8192,701.609
16,64,64,16384,1369.77
16,64,128,16,31.1783
16,64,128,32,31.2637
16,64,128,64,33.9203
16,64,128,128,45.8453
16,64,128,256,66.4967
16,64,128,512,116.725
16,64,128,1024,200.404
16,64,128,2048,366.229
16,64,128,4096,707.145
16,64,128,8192,1378.29
16,64,128,16384,2723.16
16,128,0,0,16.043
16,128,1,16,15.9683
16,128,1,32,16.2027
16,128,1,64,16.107
16,128,1,128,16.16
16,128,1,256,18.9653
16,128,1,512,20.0747
16,128,1,1024,20.2133
16,128,1,2048,21.9943
16,128,1,4096,25.4607
16,128,1,8192,30.933
16,128,1,16384,44.0107
16,128,2,16,15.9573
16,128,2,32,15.872
16,128,2,64,15.9783
16,128,2,128,15.8617
16,128,2,256,18.7733
16,128,2,512,20.4903
16,128,2,1024,20.906
16,128,2,2048,24.8843
16,128,2,4096,30.3787
16,128,2,8192,41.92
16,128,2,16384,64.3097
16,128,4,16,16.1813
16,128,4,32,15.9787
16,128,4,64,15.9787
16,128,4,128,16.0427
16,128,4,256,18.9227
16,128,4,512,20.852
16,128,4,1024,22.8157
16,128,4,2048,29.4933
16,128,4,4096,40.9707
16,128,4,8192,63.0083
16,128,4,16384,106.634
16,128,8,16,16.0423
16,128,8,32,16.0107
16,128,8,64,16.1067
16,128,8,128,16.4483
16,128,8,256,19.1997
16,128,8,512,23.1253
16,128,8,1024,30.0263
16,128,8,2048,40.8107
16,128,8,4096,63.2107
16,128,8,8192,105.195
16,128,8,16384,190.005
16,128,16,16,16.5977
16,128,16,32,16.6297
16,128,16,64,16.821
16,128,16,128,16.9487
16,128,16,256,19.8717
16,128,16,512,29.546
16,128,16,1024,41.3653
16,128,16,2048,63.371
16,128,16,4096,105.184
16,128,16,8192,190.816
16,128,16,16384,360.234
16,128,32,16,17.0667
16,128,32,32,17.077
16,128,32,64,17.899
16,128,32,128,19.1143
16,128,32,256,25.5037
16,128,32,512,41.2163
16,128,32,1024,62.7947
16,128,32,2048,105.866
16,128,32,4096,190.976
16,128,32,8192,359.07
16,128,32,16384,695.38
16,128,64,16,20.7253
16,128,64,32,21.1207
16,128,64,64,22.784
16,128,64,128,29.962
16,128,64,256,39.925
16,128,64,512,67.9357
16,128,64,1024,110.08
16,128,64,2048,193.663
16,128,64,4096,360.394
16,128,64,8192,692.393
16,128,64,16384,1378.55
16,128,128,16,30.9757
16,128,128,32,31.6263
16,128,128,64,33.9627
16,128,128,128,46.5493
16,128,128,256,67.488
16,128,128,512,117.205
16,128,128,1024,201.802
16,128,128,2048,366.058
16,128,128,4096,700.158
16,128,128,8192,1381.69
16,128,128,16384,2725.39
16,256,0,0,19.2637
16,256,1,16,19.1147
16,256,1,32,19.072
16,256,1,64,19.3387
16,256,1,128,19.2427
16,256,1,256,19.339
16,256,1,512,19.6477
16,256,1,1024,20.9277
16,256,1,2048,21.9737
16,256,1,4096,28.2343
16,256,1,8192,31.392
16,256,1,16384,43.7333
16,256,2,16,19.1253
16,256,2,32,19.029
16,256,2,64,19.094
16,256,2,128,19.0827
16,256,2,256,19.093
16,256,2,512,20.4053
16,256,2,1024,21.3973
16,256,2,2048,27.0287
16,256,2,4096,30.2507
16,256,2,8192,42.5493
16,256,2,16384,63.2533
16,256,4,16,19.008
16,256,4,32,19.104
16,256,4,64,19.0937
16,256,4,128,19.2213
16,256,4,256,19.0617
16,256,4,512,23.1037
16,256,4,1024,25.3117
16,256,4,2048,30.0793
16,256,4,4096,42.1973
16,256,4,8192,63.3817
16,256,4,16384,105.312
16,256,8,16,19.1253
16,256,8,32,18.8797
16,256,8,64,19.189
16,256,8,128,19.264
16,256,8,256,19.3277
16,256,8,512,27.979
