layer,sequences,time_us
lm_head,1,696.949
lm_head,2,694.998
lm_head,3,696.789
lm_head,4,701.61
lm_head,5,702.933
lm_head,6,708.586
lm_head,7,700.523
lm_head,8,705.408
lm_head,9,709.834
lm_head,10,718.059
lm_head,11,714.411
lm_head,12,714.464
lm_head,13,717.984
lm_head,14,713.344
lm_head,15,718.826
lm_head,16,718.442
lm_head,20,722.315
lm_head,24,722.732
lm_head,28,722.73
lm_head,32,724.768
lm_head,36,722.016
lm_head,40,722.976
lm_head,44,722.741
lm_head,48,725.407
lm_head,52,723.082
lm_head,56,723.061
lm_head,60,726.261
lm_head,64,727.616
lm_head,80,728.469
lm_head,96,712.821
lm_head,112,720.491
lm_head,128,724.821
lm_head,144,729.621
lm_head,160,737.685
lm_head,176,731.157
lm_head,192,752.095
lm_head,208,746.923
lm_head,224,750.55
lm_head,240,757.013
lm_head,256,764.063
sampler,1,32.4053
sampler,2,33.504
sampler,3,33.259
sampler,4,33.152
sampler,5,32.928
sampler,6,33.067
sampler,7,32.8643
sampler,8,33.046
sampler,9,34.6133
sampler,10,35.0513
sampler,11,35.072
sampler,12,35.1997
sampler,13,35.2423
sampler,14,35.456
sampler,15,35.5943
sampler,16,35.659
sampler,20,37.558
sampler,24,38.3263
sampler,28,39.9467
sampler,32,40.8003
sampler,36,42.368
sampler,40,44.5977
sampler,44,48.799
sampler,48,54.9973
sampler,52,58.2183
sampler,56,61.2583
sampler,60,64.352
sampler,64,66.0053
sampler,80,75.8403
sampler,96,85.0457
sampler,112,92.832
sampler,128,100.586
sampler,144,108.608
sampler,160,115.829
sampler,176,123.339
sampler,192,131.573
sampler,208,139.851
sampler,224,147.648
sampler,240,155.221
sampler,256,163.989
