tokens,activated_experts,time_us
1,8,224.363
2,8,225.751
2,16,373.507
4,8,226.188
4,16,377.569
4,32,693.134
8,8,233.547
8,16,379.117
8,32,693.891
8,64,1361.85
16,8,244.609
16,16,392.992
16,32,703.095
16,64,1342.95
16,128,2585.63
32,8,334.573
32,16,408.566
32,32,741.498
32,64,1347.5
32,128,2586.95
32,256,5032.65
64,8,333.793
64,16,407.383
64,32,742.085
64,64,1385.79
64,128,2599.31
64,256,5070.03
128,8,369.111
128,16,445.837
128,32,804.803
128,64,1448.41
128,128,2752.17
128,256,5297.46
256,8,559.971
256,16,657.558
256,32,852.249
256,64,1518.16
256,128,2829.66
256,256,5405.99
512,8,1032.87
512,16,1056.21
512,32,1159.55
512,64,1525.53
512,128,2860.53
512,256,5467.75
1024,8,1493.4
1024,16,1522.03
1024,32,1587.56
1024,64,1792.55
1024,128,3195.27
1024,256,6021.85
2048,8,2904.42
2048,16,2931.76
2048,32,2995.71
2048,64,3125.45
2048,128,3517.63
2048,256,6338.06
