layer,sequences,time_us
lm_head,1,177.376
lm_head,2,180.383
lm_head,3,181.173
lm_head,4,180.235
lm_head,5,179.381
lm_head,6,178.666
lm_head,7,179.637
lm_head,8,178.219
lm_head,9,178.773
lm_head,10,180.181
lm_head,11,180.117
lm_head,12,179.755
lm_head,13,184.512
lm_head,14,184.491
lm_head,15,183.871
lm_head,16,179.338
lm_head,20,183.797
lm_head,24,186.261
lm_head,28,181.472
lm_head,32,181.205
lm_head,36,177.835
lm_head,40,181.749
lm_head,44,181.984
lm_head,48,181.088
lm_head,52,182.24
lm_head,56,179.861
lm_head,60,183.84
lm_head,64,184.586
lm_head,80,184.97
lm_head,96,186.005
lm_head,112,186.421
lm_head,128,187.712
lm_head,144,191.467
lm_head,160,193.642
lm_head,176,182.976
lm_head,192,184.811
lm_head,208,188.64
lm_head,224,191.509
lm_head,240,193.855
lm_head,256,195.051
sampler,1,15.3493
sampler,2,15.5307
sampler,3,15.072
sampler,4,15.4773
sampler,5,15.3917
sampler,6,15.3387
sampler,7,15.488
sampler,8,15.296
sampler,9,15.2747
sampler,10,15.5733
sampler,11,15.4347
sampler,12,15.6053
sampler,13,15.3493
sampler,14,15.4453
sampler,15,15.2537
sampler,16,15.1793
sampler,20,15.6263
sampler,24,15.445
sampler,28,15.6373
sampler,32,15.7227
sampler,36,17.3223
sampler,40,17.4293
sampler,44,17.387
sampler,48,17.3333
sampler,52,17.7917
sampler,56,17.5257
sampler,60,17.9303
sampler,64,18.0697
sampler,80,19.4567
sampler,96,20.523
sampler,112,21.7173
sampler,128,22.774
sampler,144,27.008
sampler,160,28.341
sampler,176,30.4747
sampler,192,33.2587
sampler,208,34.645
sampler,224,36.5113
sampler,240,38.8263
sampler,256,41.1097
