tokens,activated_experts,time_us
1,8,223.37
2,8,229.27
2,16,375.597
4,8,228.374
4,16,378.828
4,32,695.108
8,8,231.296
8,16,382.593
8,32,696.375
8,64,1369.87
16,8,242.733
16,16,394.753
16,32,705.23
16,64,1345.02
16,128,2589.51
32,8,332.535
32,16,411.683
32,32,740.269
32,64,1348.23
32,128,2581.44
32,256,5018.94
64,8,352.163
64,16,426.572
64,32,753.005
64,64,1379.18
64,128,2620.56
64,256,5062.06
128,8,384.725
128,16,452.13
128,32,800.015
128,64,1459.31
128,128,2754.57
128,256,5294.68
256,8,576.771
256,16,647.308
256,32,868.355
256,64,1521.12
256,128,2835.66
256,256,5396.73
512,8,1043.27
512,16,1065.44
512,32,1175.59
512,64,1534.86
512,128,2870.14
512,256,5474.77
1024,8,1510.7
1024,16,1537.07
1024,32,1602.81
1024,64,1810.79
1024,128,3214.78
1024,256,6033.51
2048,8,2927.71
2048,16,2955.36
2048,32,3012.32
2048,64,3142.92
2048,128,3540.49
2048,256,6353.74
