pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.2043,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.711,4
0,n<=128,sr<=15%,kvB<=32k,kp=0,0.1869,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.2755,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.2201,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.8088,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.3559,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.1846,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.4666,8
0,n<=128,sr<=5%,kvB<=32k,kp=0,0.1751,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.2257,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.2963,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,1.6513,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.5796,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.8382,4
0,n<=128,sr>70%,kvB<=1k,kp=0,3.5443,4
0,n<=128,sr>70%,kvB<=4k,kp=0,1.5226,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1033,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.5495,4
0,n<=16,sr<=15%,kvB<=32k,kp=0,0.0334,2
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.3003,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.1326,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.5566,4
0,n<=16,sr<=40%,kvB<=32k,kp=0,0.0415,2
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.3871,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0324,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.2819,1
0,n<=16,sr<=70%,kvB<=32k,kp=0,0.0083,1
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.1231,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.138,4
0,n<=16,sr>70%,kvB<=1k,kp=0,-0.6995,2
0,n<=16,sr>70%,kvB<=32k,kp=0,-0.0078,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.2805,3
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.642,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.6992,1
0,n<=2,sr<=70%,kvB<=32k,kp=0,0.3442,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.6034,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0669,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.4299,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0927,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.113,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.3732,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.1833,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0641,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.2943,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0726,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,0.0141,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.0573,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0172,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.6227,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.3399,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.5761,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0841,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.689,6
0,n<=32,sr<=15%,kvB<=32k,kp=0,0.0839,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,-0.0516,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.4096,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.7065,2
0,n<=32,sr<=40%,kvB<=32k,kp=0,0.3272,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.675,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.2951,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.5862,2
0,n<=32,sr<=5%,kvB<=32k,kp=0,0.2424,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.3074,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.1141,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,-0.042,2
0,n<=32,sr<=70%,kvB<=32k,kp=0,0.094,1
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.1333,2
0,n<=32,sr>70%,kvB<=16k,kp=0,1.8268,4
0,n<=32,sr>70%,kvB<=1k,kp=0,4.3476,3
0,n<=32,sr>70%,kvB<=32k,kp=0,1.501,2
0,n<=32,sr>70%,kvB<=4k,kp=0,1.8977,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,1.2074,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.9883,4
0,n<=4,sr<=40%,kvB<=32k,kp=0,0.1388,1
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.4879,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.3558,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,2.1872,1
0,n<=4,sr<=70%,kvB<=32k,kp=0,0.208,1
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.3433,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.945,2
0,n<=4,sr>70%,kvB<=1k,kp=0,-0.1851,1
0,n<=4,sr>70%,kvB<=32k,kp=0,-0.0377,1
0,n<=4,sr>70%,kvB<=4k,kp=0,0.0176,1
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.2289,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,1.0449,4
0,n<=64,sr<=15%,kvB<=32k,kp=0,0.1882,2
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.3452,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.1586,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.4698,2
0,n<=64,sr<=40%,kvB<=32k,kp=0,0.0897,1
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.3737,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.2649,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.855,6
0,n<=64,sr<=5%,kvB<=32k,kp=0,0.2308,3
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.3412,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.0098,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,-0.18,2
0,n<=64,sr<=70%,kvB<=32k,kp=0,0.039,1
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0804,2
0,n<=64,sr>70%,kvB<=16k,kp=0,2.1608,4
0,n<=64,sr>70%,kvB<=1k,kp=0,4.5274,3
0,n<=64,sr>70%,kvB<=32k,kp=0,2.1569,2
0,n<=64,sr>70%,kvB<=4k,kp=0,1.8106,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.3969,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.9391,2
0,n<=8,sr<=15%,kvB<=32k,kp=0,0.0571,1
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.3911,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.2725,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.6504,4
0,n<=8,sr<=40%,kvB<=32k,kp=0,0.0745,2
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.5783,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.2113,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.0122,2
0,n<=8,sr<=70%,kvB<=32k,kp=0,0.0655,1
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.5736,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.2241,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.1106,4
0,n<=8,sr>70%,kvB<=32k,kp=0,0.0425,2
0,n<=8,sr>70%,kvB<=4k,kp=0,0.8856,2
16,n<=128,sr<=15%,kvB<=16k,kp<=16k,-0.0565,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.1059,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0172,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,-0.0911,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.1312,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,-0.076,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.2031,4
16,n<=128,sr<=15%,kvB<=1k,kp<=16k,0.0109,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,-0.0042,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0735,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0132,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0098,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,-0.2749,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.6364,4
16,n<=128,sr<=15%,kvB<=32k,kp<=16k,-0.0774,2
16,n<=128,sr<=15%,kvB<=32k,kp<=1k,0.1432,2
16,n<=128,sr<=15%,kvB<=32k,kp<=2k,0.11,2
16,n<=128,sr<=15%,kvB<=32k,kp<=4k,0.0435,2
16,n<=128,sr<=15%,kvB<=32k,kp<=512,0.1584,2
16,n<=128,sr<=15%,kvB<=32k,kp<=8k,-0.0951,2
16,n<=128,sr<=15%,kvB<=32k,kp=0,0.1833,2
16,n<=128,sr<=15%,kvB<=4k,kp<=16k,-0.1045,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,-0.0783,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,-0.0573,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,-0.0426,4
