label,sweep,mode,topology,fabric,panel,ep,per_device_batch,wg_count,intra_opt_bw,inter_bw,status,ttft_ms,e2e_latency_ms,tpot_avg_ms,tpot_steady_ms,tpot_gt_ms,prefill_step_ms,prefill_exposed_frac,tpot_gt_overlap_ms,exposed_frac_overlap,interactivity_tok_s_user,n_completed,total_cycles,exposed_cycles,compute_cycles,exposed_frac,all_to_all_us,weight_load_us,energy_total_kj,energy_npu_j,energy_cpu_j,energy_dram_j,energy_link_j,elapsed_s,error
topo_fb_ep16_b8_isobw,topo_compare,controlled,fb_2d,fb,16,16,8,4.0,512.0,0,ok,1484.9230058124995,1709.8996317499991,224.97662593749996,224.97662593749996,35.668447,296.436747,0.15729838211305272,30.468766092761605,0.04266402593567506,4.444906202290574,128,2349845001.5,368216476.5,1981628525.0,0.18222271168823226,8.779662222222221,25661.62829373134,,,,,,93.66421675682068,
topo_dragonfly_ep16_b8_isobw,topo_compare,controlled,dragonfly,dragonfly,16,16,8,4.0,512.0,0,ok,1484.9885808125002,1709.9774067500002,224.98882593750005,224.98882593750005,35.698322,292.311987,0.15733429488727788,30.487727306275744,0.042726985201121226,4.444665177628828,128,2349967001.5,368338476.5,1981628525.0,0.18245236756941455,8.779662222222221,25661.62829373134,,,,,,56.07214570045471,
topo_torus_ep16_b8_isobw,topo_compare,controlled,torus_2d,torus,16,16,8,4.0,512.0,0,ok,1485.0532318124997,1710.0541257500001,225.00089393749997,225.00089393749997,35.671637,297.495211,0.1573696865806889,30.458387218379563,0.04278993618607119,4.44442678648991,128,2350087593.5,368459068.5,1981628525.0,0.1826818944985772,8.779662222222221,25661.62829373134,,,,,,58.71065592765808,
topo_mesh_ep16_b8_isobw,topo_compare,controlled,mesh_2d,mesh,16,16,8,4.0,512.0,0,ok,1485.1833068125,1710.2084007500002,225.02509393749986,225.02509393749986,35.738257,295.439219,0.15744090835542546,30.50226485288493,0.04291478167579286,4.443948817005038,128,2350329593.5,368701068.5,1981628525.0,0.18313680445842206,8.779662222222221,25661.62829373134,,,,,,57.510756731033325,
topo_ring_ep16_b8_isobw,topo_compare,controlled,ring_1d,ring,16,16,8,4.0,512.0,0,ok,3648.666821562501,4182.9660935,534.2992719374996,534.2992719374996,37.263097,703.369595,0.6545733164378186,30.974934720271882,0.05075202205037064,1.8716102613686068,128,5648634265.5,3667005740.5,1981628525.0,0.21093799180621375,8.779662222222221,25661.62829373134,,,,,,62.45851993560791,
