label,sweep,mode,topology,fabric,panel,ep,per_device_batch,wg_count,intra_opt_bw,inter_bw,status,ttft_ms,e2e_latency_ms,tpot_avg_ms,tpot_steady_ms,tpot_gt_ms,tpot_gt_overlap_ms,exposed_frac_overlap,interactivity_tok_s_user,n_completed,total_cycles,exposed_cycles,compute_cycles,exposed_frac,all_to_all_us,weight_load_us,elapsed_s,error
epscale_fb_ep16,epscale,controlled,glass_fb,glass_fb,16,16,16,5,640,0,ok,629.1037191562503,1690.1756515312477,46.13356179687503,37.08321634791663,37.2,35.69594843333798,0.01053376946595796,26.966377204661775,256,1723188579.5,462587702.5,1260600877.0,0.05053936715934213,16.55296,25661.62829373134,55.87350511550903,
epscale_nvl72_ep16,epscale,controlled,nvl72,nvl72,64,16,16,0,900,0,ok,725.51418940625,1845.3469154687448,48.68837894531254,38.25533100208358,38.4,35.97810756966949,0.01682893149424728,26.140147629242442,256,1879499891.5,618899014.5,1260600877.0,0.07883764421648794,16.55296,25661.62829373134,52.34692454338074,
epscale_fb_ep32,epscale,controlled,glass_fb,glass_fb,16,32,16,5,640,512,ok,609.9905257187503,1670.3507966562515,46.10261996874986,37.17706628541618,37.3,35.6949891457301,0.011241149617087722,26.898303172251115,512,1703418651.5,498652782.5,1204765869.0,0.05378722701976871,29.096999999999998,12830.81414686567,117.08275198936462,
epscale_nvl72_ep32,epscale,controlled,nvl72,nvl72,64,32,16,0,900,0,ok,1077.9670553437518,2386.7776201562497,56.904806683593804,41.23035759375015,41.4,36.536334218890914,0.0332796508262886,24.253973488495372,512,2423007013.5,1218244316.5,1204762697.0,0.14684981223155436,16.55296,12830.81414686567,121.00820016860962,
epscale_fb_ep64,epscale,controlled,glass_fb,glass_fb,16,64,16,5,640,512,ok,603.7600265937496,1686.0894376562585,47.05780001660153,37.32599608541589,37.5,35.67204553077673,0.012810832978768857,26.790979608732336,1024,1719328283.5,570782942.5,1148545341.0,0.060931815640775835,29.096999999999998,6415.407073432835,251.07320046424866,
epscale_nvl72_ep64,epscale,controlled,nvl72,nvl72,64,64,16,0,900,0,ok,1812.9122944062494,3522.041563718746,74.30996776171902,47.12479097708311,47.3,37.58207577384785,0.0646446745293573,21.22025327361775,1024,3562479549.5,2413937380.5,1148542169.0,0.256816179338059,16.55296,6415.407073432835,332.26057863235474,
epscale_fb_ep128,epscale,controlled,glass_fb,glass_fb,16,128,16,5,640,512,ok,654.1191615937473,1797.34614915625,49.70552071630855,37.24983418541863,38.0,35.76414252793303,0.015629184107522554,26.845757085046245,2048,1821934814.5,715043262.5,1106891552.0,0.07354794316009769,29.096999999999998,3207.7035367164176,573.8529546260834,
epscale_nvl72_ep128,epscale,controlled,nvl72,nvl72,64,128,16,0,900,50.0,ok,1863.2716200312504,3633.3012718437612,76.95781046679669,47.04875107708476,47.9,37.75531159194029,0.06717391527385329,21.254549315487633,2048,3665089252.5,2558197700.5,1106891552.0,0.2647361275589695,297.95328,3207.7035367164176,927.3685352802277,
epscale_fb_ep8,epscale,controlled,glass_fb,glass_fb,16,8,16,8,3072.0,0,ok,409.9721575937499,1686.9469319687503,55.52064188281254,49.838358110416685,50.420514,270.40723,0.04850087477233141,50.18612671109623,0.0011675900505983248,20.06486645857201,128,1736028405.5,33212786.5,1702815619.0,0.005810811669427131,35.118648888888885,51323.25658746268,,,,,,31.179405212402344,
epscale_nvl72_ep8,epscale,controlled,nvl72,nvl72,8,8,16,0,450,0,ok,454.11507440625047,1751.806735093747,56.42137612499999,50.09971871041635,50.683429,301.219613,0.14170884722867327,50.24109122798849,0.002201075659385196,19.960191908065298,128,1801011573.5,98195954.5,1702815619.0,0.010909329260543577,35.118648888888885,51323.25658746268,,,,,,32.090603828430176,
epscale_fb_ep16,epscale,controlled,glass_fb,glass_fb,16,16,16,8,3072.0,0,ok,347.8797449062502,1277.2620014062516,40.40792371484378,35.431155289583856,35.515581,233.826821,0.07915347372924925,35.2569951418958,0.0018335783939009169,28.22374804961504,256,1309507709.5,48906832.5,1260600877.0,0.009101141344984577,33.10592,25661.62829373134,,,,,,64.6577160358429,
epscale_nvl72_ep16,epscale,controlled,nvl72,nvl72,8,16,16,0,450,50.0,ok,364.8018804687505,1302.6288714062462,40.77508608203123,35.55372487708294,35.65185,245.101461,0.12204140325232238,35.2956012274234,0.002523322738442367,28.126448169839314,256,1334954123.5,74350074.5,1260604049.0,0.012490543007466905,297.95328,25661.62829373134,,,,,,65.4306013584137,
epscale_fb_ep32,epscale,controlled,glass_fb,glass_fb,16,32,16,8,3072.0,512,ok,324.4505010312495,1251.1730153437459,40.292282736328055,35.50289958958292,35.595423,209.876698,0.12840894408977482,35.19975364314867,0.0028101713499374377,28.166713467353382,512,1283466692.5,78700823.5,1204765869.0,0.013894671122862112,29.096999999999998,12830.81414686567,,,,,,138.30581045150757,
epscale_nvl72_ep32,epscale,controlled,nvl72,nvl72,8,32,16,0,450,50.0,ok,332.6681874687505,1263.9136318437506,40.488931875000134,35.5811966479166,35.74405,229.161006,0.14990209731253662,35.283236188217984,0.003265104491293063,28.10473211160405,512,1296272792.5,91506923.5,1204765869.0,0.01611505312709451,297.95328,12830.81414686567,,,,,,136.36063265800476,
epscale_fb_ep64,epscale,controlled,glass_fb,glass_fb,16,64,16,8,3072.0,512,ok,316.1647746562502,1263.932946281254,41.20731131445324,35.64149192291582,35.864181,214.691192,0.24056541990741745,35.34559847794264,0.003667942716976368,28.057186892253704,1024,1296394217.5,147848876.5,1148545341.0,0.01807452824788341,29.096999999999998,6415.407073432835,,,,,,288.1257040500641,
epscale_nvl72_ep64,epscale,controlled,nvl72,nvl72,8,64,16,0,450,50.0,ok,320.23720990624935,1270.6551731562497,41.32251967089838,35.69846211041691,35.863408,231.213298,0.250111095609943,35.2975826719831,0.004007535964113016,28.012411204352613,1024,1303175469.5,154630128.5,1148545341.0,0.019721540686292942,297.95328,6415.407073432835,,,,,,276.28617882728577,
epscale_fb_ep128,epscale,controlled,glass_fb,glass_fb,16,128,16,8,3072.0,512,ok,365.5205054062498,1373.7346705312473,43.8353979931643,35.56025304375145,36.394294,237.239271,0.43475997441028574,35.488738013216526,0.006379178561141209,28.12128470429198,2048,1397544251.5,290652699.5,1106891552.0,0.03110226519243208,29.096999999999998,3207.7035367164176,,,,,,648.3944900035858,
epscale_nvl72_ep128,epscale,controlled,nvl72,nvl72,8,128,16,0,450,50.0,ok,367.56966978125075,1377.5198541562497,43.91087710791033,35.60682730625173,36.378576,255.151065,0.43319089152475604,35.43926217416438,0.0066262230659558715,28.084501643436884,2048,1401385120.5,294493568.5,1106891552.0,0.032275652633971356,297.95328,3207.7035367164176,,,,,,636.645694732666,
