label,sweep,mode,topology,fabric,panel,ep,per_device_batch,wg_count,intra_opt_bw,inter_bw,status,ttft_ms,e2e_latency_ms,tpot_avg_ms,tpot_steady_ms,tpot_gt_ms,prefill_step_ms,prefill_exposed_frac,tpot_gt_overlap_ms,exposed_frac_overlap,interactivity_tok_s_user,n_completed,total_cycles,exposed_cycles,compute_cycles,exposed_frac,all_to_all_us,weight_load_us,energy_total_kj,energy_npu_j,energy_cpu_j,energy_dram_j,energy_link_j,elapsed_s,error
topo_fb_ep32_b32_isobudget,topo_compare,controlled,fb_2d,fb,16,32,32,5.0,640.0,512,ok,136.59923417187477,322.4355334218766,12.389086157226556,5.795699198660685,5.6,60.3,0.6894673287692676,5.2496151186410565,0.01668621762930525,172.54173581525552,1024,332519006.5,176284968.5,156234038.0,0.07821091101762122,12.672,135.2193528358209,,,,,,100.30329036712646,
topo_dragonfly_ep32_b32_isobudget,topo_compare,controlled,dragonfly,dragonfly,16,32,32,6.0,768.0,512,ok,141.04371717187507,329.8841514218753,12.589361799804703,5.829517341517862,6.0,66.9,0.720097684030136,5.373686835346435,0.02913796355482947,171.5407882704102,1024,340008526.5,183776408.5,156232118.0,0.1304819093028261,12.672,135.2193528358209,,,,,,100.37963724136353,
topo_torus_ep32_b32_isobudget,topo_compare,controlled,torus_2d,torus,16,32,32,7.5,960.0,512,ok,134.4678366718751,319.1790799218752,12.31408239648435,5.802842841517778,5.9,59.4,0.685122433934255,5.344786951133225,0.025969840048959143,172.3293267302139,1024,329299886.5,173065848.5,156234038.0,0.11762988323448632,12.672,135.2193528358209,,,,,,100.51252961158752,
topo_mesh_ep32_b32_isobudget,topo_compare,controlled,mesh_2d,mesh,16,32,32,7.5,960.0,512,ok,134.51719667187456,319.51347317187486,12.333084620117154,5.8218428415179515,5.9,59.5,0.6852233687725647,5.326529161436103,0.02691578423693832,171.7669176619797,1024,329679998.5,173445960.5,156234038.0,0.12149805901777473,12.672,135.2193528358209,,,,,,97.41229462623596,
