label,sweep,mode,topology,fabric,panel,ep,per_device_batch,wg_count,intra_opt_bw,inter_bw,status,ttft_ms,e2e_latency_ms,tpot_avg_ms,tpot_steady_ms,tpot_gt_ms,prefill_step_ms,prefill_exposed_frac,tpot_gt_overlap_ms,exposed_frac_overlap,interactivity_tok_s_user,n_completed,total_cycles,exposed_cycles,compute_cycles,exposed_frac,all_to_all_us,weight_load_us,energy_total_kj,energy_npu_j,energy_cpu_j,energy_dram_j,energy_link_j,elapsed_s,error
topo_fb_ep32_b8_isobw,topo_compare,controlled,fb_2d,fb,32,32,8,4.0,512.0,0,ok,906.2684651250001,1046.2073420625002,139.9388769374998,139.9388769374998,20.498578,164.224677,0.3509869659762212,17.254881520708185,0.046996794434649394,7.145977028575304,256,1445556314.5,509714058.5,935842256.0,0.19780009126070927,7.700480000000001,1059.218263880597,,,,,,83.09638381004333,
topo_dragonfly_ep32_b8_isobw,topo_compare,controlled,dragonfly,dragonfly,32,32,8,4.0,512.0,0,ok,906.3695151249999,1046.3271920625002,139.9576769375001,139.9576769375001,20.596304,166.609944,0.35105679888098296,17.31083016933965,0.04744824191735572,7.1450171357628545,256,1445744314.5,509902058.5,935842256.0,0.19939705144794126,7.700480000000001,1059.218263880597,,,,,,82.84407234191895,
topo_torus_ep32_b8_isobw,topo_compare,controlled,torus_2d,torus,32,32,8,4.0,512.0,0,ok,906.6711241249997,1046.6849805624997,140.01385643749998,140.01385643749998,20.573778,182.467392,0.35126511435392693,17.24634898106773,0.04823381781536742,7.1421502517244395,256,1446305958.5,510463702.5,935842256.0,0.20216443832850445,7.700480000000001,1059.218263880597,,,,,,90.39385509490967,
topo_mesh_ep32_b8_isobw,topo_compare,controlled,mesh_2d,mesh,32,32,8,4.0,512.0,0,ok,907.0731516250003,1047.1618045625,140.08865293749997,140.08865293749997,20.76489,176.4702,0.3515426201884021,17.36783394327601,0.048898671933110635,7.138336896180637,256,1447053930.5,511211674.5,935842256.0,0.2044951873525449,7.700480000000001,1059.218263880597,,,,,,88.47157597541809,
topo_ring_ep32_b8_isobw,topo_compare,controlled,ring_1d,ring,32,32,8,4.0,512.0,0,ok,4805.825781125,5503.299318562501,697.4735374375005,697.4735374375005,23.74885,920.223288,0.8764058920164801,18.002769898326886,0.0797943890596404,1.4337461513937488,256,7391230006.5,6455387750.5,935842256.0,0.302439912968055,7.700480000000001,1059.218263880597,,,,,,151.8757336139679,
