label,sweep,mode,topology,fabric,panel,ep,per_device_batch,wg_count,intra_opt_bw,inter_bw,status,ttft_ms,e2e_latency_ms,tpot_avg_ms,tpot_steady_ms,tpot_gt_ms,prefill_step_ms,prefill_exposed_frac,tpot_gt_overlap_ms,exposed_frac_overlap,interactivity_tok_s_user,n_completed,total_cycles,exposed_cycles,compute_cycles,exposed_frac,all_to_all_us,weight_load_us,energy_total_kj,energy_npu_j,energy_cpu_j,energy_dram_j,energy_link_j,elapsed_s,error
topo_fb_ep32_b64_isobw,topo_compare,controlled,fb_2d,fb,32,32,64,4.0,512.0,0,ok,2268.1480847421785,6480.443250742205,66.86182753417987,47.06346919759481,39.610764,265.356339,0.2293123334798625,38.17492236433944,0.009403042277054062,21.24790239753735,2048,6763704343.5,1103692256.5,5660012087.0,0.04531096760909994,64.19911111111111,12830.81414686567,,,,,,198.53876638412476,
topo_dragonfly_ep32_b64_isobw,topo_compare,controlled,dragonfly,dragonfly,32,32,64,4.0,512.0,0,ok,2268.2546441171853,6481.318410117206,66.87402752539067,47.07566919757752,39.73737,261.231579,0.22934807045616729,38.287535878054065,0.009466750005560957,21.242395850029876,2048,6764680343.5,1104668256.5,5660012087.0,0.04560675888797921,64.19911111111111,12830.81414686567,,,,,,201.1222403049469,
topo_torus_ep32_b64_isobw,topo_compare,controlled,torus_2d,torus,32,32,64,4.0,512.0,0,ok,2268.5717592421884,6483.939056242187,66.9105915258787,47.11225921463848,39.929043,266.578913,0.2294543991140735,38.4439051167852,0.009657824034155965,21.225897816619355,2048,6767603511.5,1107591424.5,5660012087.0,0.0464930340058112,64.19911111111111,12830.81414686567,,,,,,214.27327036857605,
topo_mesh_ep32_b64_isobw,topo_compare,controlled,mesh_2d,mesh,32,32,64,4.0,512.0,0,ok,2268.994466929689,6487.4109439921995,66.95899121679709,47.16065915782335,39.981398,264.059751,0.22959609331329345,38.45690654018887,0.009910387996353692,21.204114146358634,2048,6771475455.5,1111463368.5,5660012087.0,0.04766252357568683,64.19911111111111,12830.81414686567,,,,,,220.5408992767334,
topo_ring_ep32_b64_isobw,topo_compare,controlled,ring_1d,ring,32,32,64,4.0,512.0,0,ok,9653.152201742216,21643.249758867212,190.3190083452153,98.98521932260027,66.52492,1106.818283,0.8172888627775738,45.0061434601849,0.11953243982597553,10.102518404701664,2048,22000625203.5,16340613116.5,5660012087.0,0.40433676094264936,64.19911111111111,12830.81414686567,,,,,,304.5920898914337,
