label,sweep,mode,topology,fabric,panel,ep,per_device_batch,wg_count,intra_opt_bw,inter_bw,status,ttft_ms,e2e_latency_ms,tpot_avg_ms,tpot_steady_ms,tpot_gt_ms,prefill_step_ms,prefill_exposed_frac,tpot_gt_overlap_ms,exposed_frac_overlap,interactivity_tok_s_user,n_completed,total_cycles,exposed_cycles,compute_cycles,exposed_frac,all_to_all_us,weight_load_us,energy_total_kj,energy_npu_j,energy_cpu_j,energy_dram_j,energy_link_j,elapsed_s,error
topo_fb_ep64_b8_isobw,topo_compare,controlled,fb_2d,fb,64,64,8,4.0,512.0,0,ok,997.7411113749997,1155.6232630625002,157.88215168750003,157.88215168750003,8.678597,184.818416,0.5051325288981375,8.514522739939327,0.004817482584521259,6.333838178107201,512,1610982104.5,816742388.5,794239716.0,0.023632025438655554,7.700480000000001,1059.218263880597,,,,,,173.14977955818176,
topo_dragonfly_ep64_b8_isobw,topo_compare,controlled,dragonfly,dragonfly,64,64,8,4.0,512.0,0,ok,997.842161375,1155.7431130625,157.90095168749988,157.90095168749988,8.684941,210.726307,0.5040930550703067,8.505935727948062,0.0052611869457165755,6.333084058790789,512,1611170104.5,816930388.5,794239716.0,0.025763743249945258,7.700480000000001,1059.218263880597,,,,,,175.54402041435242,
topo_torus_ep64_b8_isobw,topo_compare,controlled,torus_2d,torus,64,64,8,4.0,512.0,0,ok,998.3448203750006,1156.3394015624997,157.99458118750007,157.99458118750007,8.767674,203.173944,0.5043332524661897,8.513171473573681,0.007473787154891008,6.329330996569117,512,1612106148.5,817866432.5,794239716.0,0.036284213810059286,7.700480000000001,1059.218263880597,,,,,,206.24815464019775,
topo_mesh_ep64_b8_isobw,topo_compare,controlled,mesh_2d,mesh,64,64,8,4.0,512.0,0,ok,998.9478728749998,1157.0546505624998,158.10677768750008,158.10677768750008,8.88106,195.130663,0.5046211564746302,8.536134197076578,0.010101932413432248,6.324839545946043,512,1613228120.5,818988404.5,794239716.0,0.048547949642753996,7.700480000000001,1059.218263880597,,,,,,205.06362557411194,
topo_ring_ep64_b8_isobw,topo_compare,controlled,ring_1d,ring,64,64,8,4.0,512.0,0,ok,8882.731544874994,10167.972659562494,1285.2411146875002,1285.2411146875002,10.650511,1699.93422,0.9435363408230976,8.89096847928269,0.0494755583943782,0.7780641224219977,512,13633355584.5,12839115868.5,794239716.0,0.20650916663966967,7.700480000000001,1059.218263880597,,,,,,762.378589630127,
