label,sweep,mode,topology,fabric,panel,ep,per_device_batch,wg_count,intra_opt_bw,inter_bw,status,ttft_ms,e2e_latency_ms,tpot_avg_ms,tpot_steady_ms,tpot_gt_ms,tpot_gt_overlap_ms,exposed_frac_overlap,interactivity_tok_s_user,n_completed,total_cycles,exposed_cycles,compute_cycles,exposed_frac,all_to_all_us,weight_load_us,elapsed_s,error
epscale_nvl72_ep8,epscale,controlled,nvl72,nvl72,64,8,16,0,900,0,ok,396.02401987500014,1224.0756741562502,36.00224535937501,30.57633609374988,30.9,29.60261207396062,0.01095670141200649,32.7050303520313,128,1253931329.5,290531032.5,963400297.0,0.05248333034139883,15.400960000000001,1059.218263880597,16.86579465866089,
epscale_fb_ep16,epscale,controlled,glass_fb,glass_fb,16,16,16,5,640,0,ok,446.6275371875009,1099.3273812187495,28.378253636718753,21.842616443749996,21.9,20.419590387510546,0.018124869113375186,45.782061071998456,256,1117965461.5,420766020.5,697199441.0,0.08449826555305089,14.545351111111112,1059.218263880597,40.96812415122986,
epscale_nvl72_ep16,epscale,controlled,nvl72,nvl72,64,16,16,0,900,0,ok,531.8797837500003,1246.579729781252,31.07391025781251,23.325801827083172,23.4,20.745468035440084,0.031989299542737513,42.87098070253336,256,1266872513.5,569673072.5,697199441.0,0.14180192118375629,14.545351111111112,1059.218263880597,36.954652547836304,
epscale_fb_ep32,epscale,controlled,glass_fb,glass_fb,16,32,16,5,640,512,ok,227.3484812500002,788.5732667812515,24.401077158203123,20.517152418749625,20.6,20.123617182069538,0.005918205628992592,48.73970712846822,512,806566483.5,138113840.5,668452643.0,0.028906724388984464,25.568,1059.218263880597,64.72151303291321,
epscale_nvl72_ep32,epscale,controlled,nvl72,nvl72,64,32,16,0,900,0,ok,858.6156743749996,1768.3046756562505,39.55169522265628,26.57716126041713,26.7,21.34666138335932,0.06269526789812023,37.62629086686382,512,1791425915.5,1122973272.5,668452643.0,0.250624467071193,14.545351111111112,1059.218263880597,97.09396290779114,
epscale_fb_ep64,epscale,controlled,glass_fb,glass_fb,16,64,16,5,640,512,ok,311.6310512499995,952.1421040312498,27.848306163085983,21.70529145208383,21.8,20.406264296866663,0.017074851168953818,46.071714918345144,1024,971117777.5,336937440.5,634180337.0,0.07991603802370054,25.568,1059.218263880597,151.76113033294678,
epscale_fb_ep8,epscale,controlled,glass_fb,glass_fb,16,8,16,5,640,0,ok,355.90112275000007,1154.863284218751,34.737484757812524,29.882280506250186,30.2,29.43815711558829,0.006469858841879507,33.4646480475558,128,1183946239.5,220545942.5,963400297.0,0.031533231970683286,15.400960000000001,1059.218263880597,18.23426628112793,
epscale_nvl72_ep8,epscale,controlled,nvl72,nvl72,64,8,16,0,900,0,ok,396.02401987500014,1224.0756741562502,36.00224535937501,30.57633609374988,30.9,29.60261207396062,0.01095670141200649,32.7050303520313,128,1253931329.5,290531032.5,963400297.0,0.05248333034139883,15.400960000000001,1059.218263880597,16.94378924369812,
epscale_fb_ep16,epscale,controlled,glass_fb,glass_fb,16,16,16,5,640,0,ok,446.6275371875009,1099.3273812187495,28.378253636718753,21.842616443749996,21.9,20.419590387510546,0.018124869113375186,45.782061071998456,256,1117965461.5,420766020.5,697199441.0,0.08449826555305089,14.545351111111112,1059.218263880597,41.32654070854187,
epscale_nvl72_ep16,epscale,controlled,nvl72,nvl72,64,16,16,0,900,0,ok,531.8797837500003,1246.579729781252,31.07391025781251,23.325801827083172,23.4,20.745468035440084,0.031989299542737513,42.87098070253336,256,1266872513.5,569673072.5,697199441.0,0.14180192118375629,14.545351111111112,1059.218263880597,36.97273588180542,
epscale_fb_ep32,epscale,controlled,glass_fb,glass_fb,16,32,16,5,640,512,ok,446.5489689375007,1112.8597334687524,28.97003274999996,21.913327252083473,22.0,20.38873043469,0.019756864833630573,45.63432967053974,512,1131608935.5,463151404.5,668457531.0,0.09154940711988642,25.568,1059.218263880597,93.8397057056427,
epscale_nvl72_ep32,epscale,controlled,nvl72,nvl72,64,32,16,0,900,0,ok,858.6156743749996,1768.3046756562505,39.55169522265628,26.57716126041713,26.7,21.34666138335932,0.06269526789812023,37.62629086686382,512,1791425915.5,1122973272.5,668452643.0,0.250624467071193,14.545351111111112,1059.218263880597,96.28758907318115,
epscale_fb_ep64,epscale,controlled,glass_fb,glass_fb,16,64,16,5,640,512,ok,460.12690681249984,1163.1762544687485,30.567362473632908,22.26614781874963,22.4,20.522173768129388,0.022875576596895923,44.911226142042004,1024,1182107397.5,547922172.5,634185225.0,0.10478941026063668,25.568,1059.218263880597,208.19863772392273,
epscale_nvl72_ep64,epscale,controlled,nvl72,nvl72,64,64,16,0,900,0,ok,1524.1101966250012,2832.5373505312555,56.8881366533205,33.2832479520831,33.5,22.759488423149094,0.11797839407856081,30.045144675774136,1024,2861287073.5,2227106736.5,634180337.0,0.4007653573451831,14.545351111111112,1059.218263880597,333.4700994491577,
epscale_fb_ep128,epscale,controlled,glass_fb,glass_fb,16,128,16,5,640,512,ok,528.2630343124998,1309.8227664687486,33.98085744238282,22.45369620208469,23.0,20.634463912471713,0.028660013867606804,44.53609735341285,2048,1323292517.5,717463708.5,605828809.0,0.12856174388740685,25.568,1059.218263880597,504.8801872730255,
epscale_nvl72_ep128,epscale,controlled,nvl72,nvl72,64,128,16,0,900,50.0,ok,1592.246617874999,2979.1884802812533,60.30181962500012,33.47098433541442,34.0,22.796310564822384,0.12286735394439581,29.87662358474282,2048,3002477081.5,2396648272.5,605828809.0,0.4119003468815299,261.81632,1059.218263880597,1004.3940761089325,
