layer,sequences,time_us
lm_head,1,156.127
lm_head,2,157.716
lm_head,3,158.122
lm_head,4,158.271
lm_head,5,157.46
lm_head,6,159.402
lm_head,7,159.018
lm_head,8,159.007
lm_head,9,158.922
lm_head,10,158.815
lm_head,11,160.01
lm_head,12,160.159
lm_head,13,159.476
lm_head,14,159.775
lm_head,15,160.052
lm_head,16,160.522
lm_head,20,161.173
lm_head,24,161.685
lm_head,28,158.954
lm_head,32,159.434
lm_head,36,160.81
lm_head,40,160.586
lm_head,44,161.429
lm_head,48,162.613
lm_head,52,162.218
lm_head,56,161.055
lm_head,60,162.356
lm_head,64,162.186
lm_head,80,165.301
lm_head,96,164.629
lm_head,112,163.327
lm_head,128,170.175
lm_head,144,179.38
lm_head,160,176.276
lm_head,176,163.615
lm_head,192,167.679
lm_head,208,169.045
lm_head,224,173.183
lm_head,240,174.836
lm_head,256,178.026
sampler,1,32.8107
sampler,2,33.674
sampler,3,33.8987
sampler,4,33.4293
sampler,5,33.504
sampler,6,33.0443
sampler,7,33.2587
sampler,8,33.1193
sampler,9,34.88
sampler,10,34.8583
sampler,11,35.136
sampler,12,35.0393
sampler,13,35.3493
sampler,14,35.6153
sampler,15,36.1067
sampler,16,35.84
sampler,20,37.6427
sampler,24,38.6243
sampler,28,39.957
sampler,32,40.96
sampler,36,44.0213
sampler,40,50.848
sampler,44,55.0287
sampler,48,57.056
sampler,52,59.307
sampler,56,61.941
sampler,60,64.2133
sampler,64,66.5487
sampler,80,76.7887
sampler,96,85.781
sampler,112,93.8233
sampler,128,101.237
sampler,144,108.927
sampler,160,116.576
sampler,176,124.095
sampler,192,132.991
sampler,208,141.268
sampler,224,148.714
sampler,240,156.544
sampler,256,164.948
