layer,sequences,time_us
lm_head,1,408.333
lm_head,2,408.642
lm_head,3,410.711
lm_head,4,408.738
lm_head,5,411.959
lm_head,6,412.503
lm_head,7,411.937
lm_head,8,412.94
lm_head,9,425.911
lm_head,10,418.199
lm_head,11,418.945
lm_head,12,418.583
lm_head,13,420.397
lm_head,14,424.631
lm_head,15,421.165
lm_head,16,440.108
lm_head,20,439.682
lm_head,24,439.49
lm_head,28,440.461
lm_head,32,441.367
lm_head,36,443.01
lm_head,40,442.914
lm_head,44,442.647
lm_head,48,443.298
lm_head,52,470.328
lm_head,56,470.114
lm_head,60,471.842
lm_head,64,472.024
lm_head,80,472.684
lm_head,96,438.221
lm_head,112,442.893
lm_head,128,445.9
lm_head,144,453.794
lm_head,160,458.37
lm_head,176,467.191
lm_head,192,491.618
lm_head,208,485.56
lm_head,224,521.943
lm_head,240,538.199
lm_head,256,558.52
sampler,1,33.387
sampler,2,32.8003
sampler,3,32.3947
sampler,4,32.8533
sampler,5,32.7363
sampler,6,32.6613
sampler,7,32.6503
sampler,8,32.3097
sampler,9,34.912
sampler,10,34.6783
sampler,11,35.0713
sampler,12,35.3173
sampler,13,34.965
sampler,14,35.1363
sampler,15,35.9143
sampler,16,35.2107
sampler,20,37.12
sampler,24,37.8023
sampler,28,39.8613
sampler,32,40.6297
sampler,36,41.696
sampler,40,42.6877
sampler,44,44.427
sampler,48,47.5627
sampler,52,51.6053
sampler,56,58.8273
sampler,60,60.8853
sampler,64,63.2003
sampler,80,71.8293
sampler,96,80.758
sampler,112,88.3093
sampler,128,95.1683
sampler,144,102.891
sampler,160,110.069
sampler,176,116.416
sampler,192,124.821
sampler,208,130.604
sampler,224,138.027
sampler,240,143.862
sampler,256,151.361
