tokens,activated_experts,time_us
1,8,51.1687
2,8,51.6797
2,16,76.7783
4,8,52.278
4,16,77.141
4,32,124.086
8,8,52.342
8,16,77.9203
8,32,125.579
8,64,220.886
16,8,54.0267
16,16,78.112
16,32,126.784
16,64,222.977
16,128,409.345
32,8,60.7577
32,16,79.4243
32,32,128.951
32,64,224.63
32,128,413.206
64,8,64.1187
64,16,85.238
64,32,132.395
64,64,228.512
64,128,420.565
128,8,63.7763
128,16,86.6347
128,32,134.954
128,64,234.123
128,128,428.855
256,8,86.5067
256,16,99.3607
256,32,142.582
256,64,243.232
256,128,439.628
512,8,143.531
512,16,149.322
512,32,174.23
512,64,259.094
512,128,455.862
1024,8,205.75
1024,16,207.788
1024,32,225.696
1024,64,300.332
1024,128,506.274
2048,8,385.76
2048,16,387.585
2048,32,394.005
2048,64,425.035
2048,128,566.157
