tokens,activated_experts,time_us
1,2,253.823
2,2,253.866
2,4,469.832
4,2,256.554
4,4,481.566
4,8,925.415
8,2,256.298
8,4,485.971
8,8,927.856
16,2,260.18
16,4,482.067
16,8,931.848
32,2,430.27
32,4,491.219
32,8,934.77
64,2,430.526
64,4,498.526
64,8,937.084
128,2,418.324
128,4,536.338
128,8,964.467
256,2,790.044
256,4,797.734
256,8,1006.08
512,2,1616.59
512,4,1645.74
512,8,1729.83
1024,2,1806.79
1024,4,1830.84
1024,8,1850.41
2048,2,2707.44
2048,4,2770.02
2048,8,2824.16
