layer,sequences,time_us
lm_head,1,101.568
lm_head,2,102.346
lm_head,3,101.6
lm_head,4,102.635
lm_head,5,102.592
lm_head,6,102.933
lm_head,7,102.848
lm_head,8,102.773
lm_head,9,103.285
lm_head,10,103.765
lm_head,11,103.627
lm_head,12,103.755
lm_head,13,103.637
lm_head,14,103.584
lm_head,15,103.797
lm_head,16,104.352
lm_head,20,104.81
lm_head,24,105.098
lm_head,28,105.845
lm_head,32,105.856
lm_head,36,104.554
lm_head,40,104.267
lm_head,44,104.234
lm_head,48,104.426
lm_head,52,105.45
lm_head,56,106.187
lm_head,60,105.579
lm_head,64,105.93
lm_head,80,104.693
lm_head,96,107.829
lm_head,112,106.997
lm_head,128,106.602
lm_head,144,108.149
lm_head,160,109.589
lm_head,176,110.24
lm_head,192,111.584
lm_head,208,113.152
lm_head,224,118.112
lm_head,240,120.447
lm_head,256,121.429
sampler,1,17.9947
sampler,2,18.6987
sampler,3,19.2217
sampler,4,18.7627
sampler,5,18.8053
sampler,6,18.7523
sampler,7,18.7947
sampler,8,18.6983
sampler,9,18.9653
sampler,10,18.912
sampler,11,19.1157
sampler,12,18.8583
sampler,13,19.2107
sampler,14,19.0293
sampler,15,19.1673
sampler,16,18.9973
sampler,20,19.2103
sampler,24,21.066
sampler,28,21.43
sampler,32,21.536
sampler,36,21.5783
sampler,40,22.187
sampler,44,22.5707
sampler,48,23.1363
sampler,52,24.011
sampler,56,24.1387
sampler,60,24.949
sampler,64,25.5147
sampler,80,27.8617
sampler,96,31.6053
sampler,112,36.9067
sampler,128,42.464
sampler,144,47.1463
sampler,160,51.072
sampler,176,54.923
sampler,192,58.666
sampler,208,62.7407
sampler,224,66.858
sampler,240,70.7733
sampler,256,75.2637
