tokens,activated_experts,time_us
1,8,124.458
2,8,124.716
2,16,218.657
4,8,124.128
4,16,219.959
4,32,409.623
8,8,125.91
8,16,222.145
8,32,411.734
8,64,785.826
16,8,130.133
16,16,224.747
16,32,416.268
16,64,790.541
16,128,1536.25
32,8,157.217
32,16,228.886
32,32,422.934
32,64,796.973
32,128,1546.75
64,8,178.24
64,16,240.833
64,32,428.674
64,64,810.582
64,128,1568.92
128,8,161.878
128,16,245.133
128,32,437.781
128,64,826.699
128,128,1601.45
256,8,259.201
256,16,292.458
256,32,458.22
256,64,847.148
256,128,1629.01
512,8,483.2
512,16,484.813
512,32,563.489
512,64,880.909
512,128,1668.78
1024,8,640.376
1024,16,655.157
1024,32,708.674
1024,64,968.471
1024,128,1770.61
2048,8,1282.24
2048,16,1292.09
2048,32,1308.81
2048,64,1391.68
2048,128,1903.45
4096,8,2561.36
4096,16,2560.59
4096,32,2567.92
4096,64,2583.02
4096,128,2741.58
8192,8,5129.13
8192,16,5144.89
8192,32,5145.61
8192,64,5155.36
8192,128,5167.38
