pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=64,sr>70%,kvB<=16k,kp=0,2.3431,4
0,n<=64,sr>70%,kvB<=1k,kp=0,2.301,3
0,n<=64,sr>70%,kvB<=4k,kp=0,1.9605,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0637,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.8256,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.1712,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.095,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.4327,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.2462,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.2424,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.9355,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.2001,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.3126,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.5188,2
0,n<=8,sr>70%,kvB<=4k,kp=0,1.3701,3
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.1062,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0177,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,-0.1009,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.1489,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,-0.0831,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.2149,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,-0.0954,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,-0.0436,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0806,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,-0.0527,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,-0.0425,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.5822,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,-0.1043,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,-0.0865,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,-0.0807,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,-0.0297,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,-0.0568,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.2693,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.075,2
