layer,sequences,time_us
lm_head,1,93.472
lm_head,2,94.2727
lm_head,3,93.91
lm_head,4,93.504
lm_head,5,95.083
lm_head,6,94.9017
lm_head,7,92.2247
lm_head,8,93.9843
lm_head,9,91.8727
lm_head,10,93.9847
lm_head,11,92.9717
lm_head,12,93.398
lm_head,13,94.5603
lm_head,14,94.8597
lm_head,15,95.0507
lm_head,16,93.0347
lm_head,20,93.8457
lm_head,24,95.8087
lm_head,28,93.2597
lm_head,32,92.928
lm_head,36,94.4533
lm_head,40,95.3817
lm_head,44,96.843
lm_head,48,96.289
lm_head,52,94.219
lm_head,56,95.851
lm_head,60,96.2883
lm_head,64,94.9873
lm_head,80,97.643
lm_head,96,96.4803
lm_head,112,98.6347
lm_head,128,100.267
lm_head,144,100.299
lm_head,160,103.467
lm_head,176,105.462
lm_head,192,111.51
lm_head,208,108.523
lm_head,224,115.094
lm_head,240,118.102
lm_head,256,123.414
sampler,1,15.0403
sampler,2,14.9867
sampler,3,14.9547
sampler,4,15.168
sampler,5,15.0613
sampler,6,14.8267
sampler,7,14.752
sampler,8,14.9123
sampler,9,15.0397
sampler,10,15.0723
sampler,11,14.9867
sampler,12,14.6137
sampler,13,14.944
sampler,14,14.5487
sampler,15,14.9973
sampler,16,14.8813
sampler,20,15.1257
sampler,24,14.88
sampler,28,14.9327
sampler,32,15.0937
sampler,36,16.6513
sampler,40,16.437
sampler,44,16.6827
sampler,48,16.7897
sampler,52,17.11
sampler,56,17.0457
sampler,60,17.3977
sampler,64,17.718
sampler,80,18.88
sampler,96,18.9977
sampler,112,20.5973
sampler,128,21.515
sampler,144,25.8453
sampler,160,26.5387
sampler,176,29.8553
sampler,192,30.721
sampler,208,32.064
sampler,224,34.112
sampler,240,35.8827
sampler,256,37.729
