prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,13.0133
0,0,1,32,13.6957
0,0,1,64,13.8233
0,0,1,128,14.3687
0,0,1,256,18.485
0,0,1,512,23.37
0,0,1,1024,31.4347
0,0,1,2048,49.6643
0,0,1,4096,84.8747
0,0,1,8192,155.7
0,0,1,16384,299.199
0,0,2,16,13.333
0,0,2,32,13.7493
0,0,2,64,14.0153
0,0,2,128,14.7307
0,0,2,256,19.061
0,0,2,512,23.5093
0,0,2,1024,32.8637
0,0,2,2048,50.485
0,0,2,4096,86.7303
0,0,2,8192,159.466
0,0,2,16384,302.975
0,0,4,16,13.6853
0,0,4,32,14.261
0,0,4,64,14.4003
0,0,4,128,15.1677
0,0,4,256,19.6797
0,0,4,512,23.9783
0,0,4,1024,33.76
0,0,4,2048,51.968
0,0,4,4096,88.928
0,0,4,8192,159.796
0,0,4,16384,300.373
0,0,8,16,14.1757
0,0,8,32,14.8903
0,0,8,64,15.4237
0,0,8,128,16.3947
0,0,8,256,20.779
0,0,8,512,25.9943
0,0,8,1024,37.622
0,0,8,2048,66.8903
0,0,8,4096,112.298
0,0,8,8192,203.146
0,0,8,16384,384.501
0,0,16,16,14.741
0,0,16,32,15.414
0,0,16,64,18.1547
0,0,16,128,20.1173
0,0,16,256,26.4853
0,0,16,512,33.9943
0,0,16,1024,52.1387
0,0,16,2048,77.7277
0,0,16,4096,134.922
0,0,16,8192,247.914
0,0,16,16384,484.767
0,0,32,16,15.6593
0,0,32,32,18.592
0,0,32,64,20.6723
0,0,32,128,29.6743
0,0,32,256,38.0583
0,0,32,512,59.3167
0,0,32,1024,94.8157
0,0,32,2048,144.938
0,0,32,4096,254.378
0,0,32,8192,472.297
0,0,32,16384,928.798
0,0,64,16,19.0183
0,0,64,32,21.43
0,0,64,64,30.5817
0,0,64,128,45.1413
0,0,64,256,61.6533
0,0,64,512,94.389
0,0,64,1024,173.899
0,0,64,2048,277.578
0,0,64,4096,494.708
0,0,64,8192,930.397
0,0,64,16384,1816.85
0,0,128,16,29.622
0,0,128,32,37.099
0,0,128,64,52.085
0,0,128,128,76.651
0,0,128,256,108.373
0,0,128,512,178.304
0,0,128,1024,312.447
0,0,128,2048,505.855
0,0,128,4096,966.334
0,0,128,8192,1829.48
0,0,128,16384,3596.8
0,0,256,16,36.0853
0,0,256,32,56
0,0,256,64,84.3413
0,0,256,128,129.557
0,0,256,256,224.415
0,0,256,512,408.585
0,0,256,1024,780.446
0,0,256,2048,1520.67
0,0,256,4096,3025.74
0,0,256,8192,6045.24
0,0,256,16384,12025.5
16,0,0,0,17.3443
16,0,1,16,17.7067
16,0,1,32,21.696
16,0,1,64,31.0187
16,0,1,128,49.9727
16,0,1,256,87.808
16,0,1,512,162.293
16,0,1,1024,315.146
16,0,1,2048,617.374
16,0,1,4096,1223.85
16,0,1,8192,2437.44
