tokens,activated_experts,time_us
1,2,410.472
2,2,413.725
2,4,785.605
4,2,416.606
4,4,789.307
4,8,1544.88
8,2,414.898
8,4,790.757
8,8,1546.28
16,2,422.088
16,4,794.864
16,8,1551.27
32,2,721.395
32,4,800.39
32,8,1560.45
64,2,739.303
64,4,828.677
64,8,1592.93
128,2,711.996
128,4,855.93
128,8,1637.99
256,2,1352.28
256,4,1428.76
256,8,1672.83
512,2,2706
512,4,2748.42
512,8,2897.79
1024,2,3105.2
1024,4,3116.41
1024,8,3158.87
2048,2,4647.89
2048,4,4677.1
2048,8,4788.77
