pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.1161,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.456,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.1583,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0757,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.411,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.1816,1
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.1173,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.2541,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.1408,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.5353,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,9.9453,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.9388,1
0,n<=128,sr>70%,kvB<=16k,kp=0,5.4488,2
0,n<=128,sr>70%,kvB<=1k,kp=0,-3.676,2
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0,1
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0319,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.4702,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0668,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0533,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.5171,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1404,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0914,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,-0.5492,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0715,2
0,n<=16,sr>70%,kvB<=16k,kp=0,-0.0427,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.2708,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.0817,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.9057,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.4631,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.4617,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.2812,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.4049,3
0,n<=256,sr<=15%,kvB<=4k,kp=0,-0.4283,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.1847,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.4306,1
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.3889,4
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.039,3
0,n<=256,sr<=5%,kvB<=4k,kp=0,-0.1208,5
0,n<=256,sr>70%,kvB<=16k,kp=0,-5.3258,1
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1208,1
0,n<=256,sr>70%,kvB<=4k,kp=0,0.4272,2
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.056,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.4007,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0411,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.2171,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.4999,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.3993,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.167,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.4223,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1775,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.0377,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,-0.0916,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.0543,2
0,n<=32,sr>70%,kvB<=16k,kp=0,1.0964,4
0,n<=32,sr>70%,kvB<=1k,kp=0,1.8178,4
0,n<=32,sr>70%,kvB<=4k,kp=0,1.1399,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.2008,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.8053,2
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.3901,2
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0805,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,1.0458,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.4003,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.2252,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.4591,1
0,n<=4,sr>70%,kvB<=4k,kp=0,0.1873,1
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.1231,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.6424,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.2093,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.0716,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.2773,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.1617,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.1652,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.5324,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.2075,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.0045,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,-0.131,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,0.0103,2
0,n<=64,sr>70%,kvB<=16k,kp=0,1.1654,4
0,n<=64,sr>70%,kvB<=1k,kp=0,1.8901,4
0,n<=64,sr>70%,kvB<=4k,kp=0,1.1502,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0887,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.7138,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.1069,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0753,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.6254,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.2147,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0696,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.7188,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.3306,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.0276,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.5988,3
0,n<=8,sr>70%,kvB<=4k,kp=0,0.4988,1
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0477,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,-0.0095,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,-0.0928,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0815,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,-0.0901,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.1129,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,-0.0652,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,-0.043,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0298,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,-0.0395,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,-0.0497,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.4384,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,-0.092,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,-0.0896,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,-0.0747,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,-0.0629,4
