tokens,activated_experts,time_us
1,2,188.032
2,2,196.406
2,4,340.17
4,2,204.417
4,4,337.901
4,8,649.763
8,2,204.471
8,4,338.433
8,8,643.683
16,2,193.9
16,4,339.82
16,8,650.905
32,2,299.159
32,4,377.549
32,8,674.029
64,2,289.058
64,4,368.748
64,8,657.794
128,2,338.146
128,4,366.614
128,8,680.013
256,2,441.793
256,4,461.495
256,8,725.251
512,2,572.941
512,4,595.042
512,8,768.975
1024,2,1101.44
1024,4,1121.01
1024,8,1173.16
2048,2,2187.78
2048,4,2209.31
2048,8,2244.85
4096,2,4315.37
4096,4,4309.85
4096,8,4330.37
8192,2,8617.69
8192,4,8617.26
8192,8,8603.24
