regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
,8192.0,128.0,512.0,272.0,371.168,384.062,367.105,-0.3151,,,,,
pure,2.0,1.0,0.5,4.0,0.0,0.0,128.0,512.0,320.0,42.591,46.56,44.799,0.5563
pure,2.0,1.0,0.5,4.0,0.0,0.0,256.0,1024.0,640.0,47.967,48.641,49.089,1.6647
pure,2.0,1.0,0.5,4.0,0.0,0.0,512.0,2048.0,1280.0,50.849,56.192,52.64,0.3352
pure,2.0,1.0,0.5,4.0,0.0,0.0,1024.0,4096.0,2560.0,61.025,69.407,61.507,0.0575
pure,2.0,1.0,0.5,4.0,0.0,0.0,2048.0,8192.0,5120.0,75.424,95.201,76.928,0.076
pure,2.0,1.0,0.5,4.0,0.0,0.0,4096.0,16384.0,10240.0,106.656,138.624,107.838,0.037
mixed,2.0,1.0,0.5,4.0,16.0,0.0,128.0,512.0,320.0,44.289,47.744,45.503,0.3514
mixed,2.0,1.0,0.5,4.0,16.0,0.0,256.0,1024.0,640.0,48.769,50.593,49.121,0.193
mixed,2.0,1.0,0.5,4.0,16.0,0.0,512.0,2048.0,1280.0,52.129,56.127,54.112,0.496
mixed,2.0,1.0,0.5,4.0,16.0,0.0,1024.0,4096.0,2560.0,59.904,70.593,60.96,0.0988
mixed,2.0,1.0,0.5,4.0,16.0,0.0,2048.0,8192.0,5120.0,77.473,102.239,77.441,-0.0013
mixed,2.0,1.0,0.5,4.0,16.0,0.0,4096.0,16384.0,10240.0,112.673,145.826,107.36,-0.1603
mixed,2.0,1.0,0.5,4.0,16.0,512.0,128.0,512.0,320.0,52.481,53.056,48.898,-6.2313
mixed,2.0,1.0,0.5,4.0,16.0,512.0,256.0,1024.0,640.0,52.833,54.144,52.418,-0.3166
mixed,2.0,1.0,0.5,4.0,16.0,512.0,512.0,2048.0,1280.0,56.255,60.192,54.178,-0.5276
mixed,2.0,1.0,0.5,4.0,16.0,512.0,1024.0,4096.0,2560.0,63.01,71.455,64.576,0.1854
mixed,2.0,1.0,0.5,4.0,16.0,512.0,2048.0,8192.0,5120.0,80.001,110.496,79.872,-0.0042
mixed,2.0,1.0,0.5,4.0,16.0,512.0,4096.0,16384.0,10240.0,112.992,167.681,108.129,-0.0889
mixed,2.0,1.0,0.5,4.0,16.0,1024.0,128.0,512.0,320.0,53.279,52.736,54.208,
mixed,2.0,1.0,0.5,4.0,16.0,1024.0,256.0,1024.0,640.0,54.815,55.232,54.24,-1.3789
mixed,2.0,1.0,0.5,4.0,16.0,1024.0,512.0,2048.0,1280.0,58.081,62.593,56.162,-0.4253
mixed,2.0,1.0,0.5,4.0,16.0,1024.0,1024.0,4096.0,2560.0,64.703,71.872,65.088,0.0537
mixed,2.0,1.0,0.5,4.0,16.0,1024.0,2048.0,8192.0,5120.0,80.481,100.259,80.479,-0.0001
mixed,2.0,1.0,0.5,4.0,16.0,1024.0,4096.0,16384.0,10240.0,112.544,176.864,111.968,-0.009
mixed,2.0,1.0,0.5,4.0,16.0,2048.0,128.0,512.0,320.0,57.087,58.175,55.393,-1.557
mixed,2.0,1.0,0.5,4.0,16.0,2048.0,256.0,1024.0,640.0,59.521,60.319,57.183,-2.9298
mixed,2.0,1.0,0.5,4.0,16.0,2048.0,512.0,2048.0,1280.0,62.912,65.634,62.528,-0.1411
mixed,2.0,1.0,0.5,4.0,16.0,2048.0,1024.0,4096.0,2560.0,79.778,76.544,74.304,
mixed,2.0,1.0,0.5,4.0,16.0,2048.0,2048.0,8192.0,5120.0,86.624,102.368,85.73,-0.0568
mixed,2.0,1.0,0.5,4.0,16.0,2048.0,4096.0,16384.0,10240.0,113.537,149.153,113.567,0.0008
mixed,2.0,1.0,0.5,4.0,16.0,4096.0,128.0,512.0,320.0,65.984,66.912,65.152,-0.8966
mixed,2.0,1.0,0.5,4.0,16.0,4096.0,256.0,1024.0,640.0,70.624,67.232,70.496,
mixed,2.0,1.0,0.5,4.0,16.0,4096.0,512.0,2048.0,1280.0,68.992,72.706,69.503,0.1376
mixed,2.0,1.0,0.5,4.0,16.0,4096.0,1024.0,4096.0,2560.0,81.44,86.496,76.64,-0.9494
mixed,2.0,1.0,0.5,4.0,16.0,4096.0,2048.0,8192.0,5120.0,111.426,109.794,93.347,
mixed,2.0,1.0,0.5,4.0,16.0,4096.0,4096.0,16384.0,10240.0,153.89,152.352,119.712,
mixed,2.0,1.0,0.5,4.0,16.0,8192.0,128.0,512.0,320.0,78.176,79.681,78.367,0.1269
mixed,2.0,1.0,0.5,4.0,16.0,8192.0,256.0,1024.0,640.0,79.936,82.498,80.798,0.3365
mixed,2.0,1.0,0.5,4.0,16.0,8192.0,512.0,2048.0,1280.0,84.159,87.39,85.663,0.4655
mixed,2.0,1.0,0.5,4.0,16.0,8192.0,1024.0,4096.0,2560.0,94.464,98.816,90.752,-0.8529
mixed,2.0,1.0,0.5,4.0,16.0,8192.0,2048.0,8192.0,5120.0,123.2,121.793,104.575,
mixed,2.0,1.0,0.5,4.0,16.0,8192.0,4096.0,16384.0,10240.0,171.713,169.442,155.873,
mixed,2.0,1.0,0.5,4.0,32.0,0.0,128.0,512.0,320.0,51.489,55.072,54.847,0.9372
mixed,2.0,1.0,0.5,4.0,32.0,0.0,256.0,1024.0,640.0,54.592,56.927,55.362,0.3298
mixed,2.0,1.0,0.5,4.0,32.0,0.0,512.0,2048.0,1280.0,58.305,62.785,59.967,0.371
