pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0109,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.4145,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.0235,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1327,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.8004,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.3065,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.2669,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.3818,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.337,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0079,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.5095,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,-0.0159,2
0,n<=8,sr>70%,kvB<=16k,kp=0,1.4545,4
0,n<=8,sr>70%,kvB<=1k,kp=0,1.1522,4
0,n<=8,sr>70%,kvB<=4k,kp=0,1.4395,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,-0.001,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,-0.0005,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,-0.0006,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0006,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,-0.0023,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,-0.0003,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0593,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0562,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0378,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0497,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0426,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.1416,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0092,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0052,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0076,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0041,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.006,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0067,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,-0.0021,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,-0.0033,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,-0.0044,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0018,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.0024,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0014,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0939,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0717,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0688,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0737,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0748,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.1889,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0056,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0088,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0069,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0064,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.0005,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0033,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0081,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0089,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.01,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0086,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0115,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0094,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0273,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0414,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,-0.0105,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0166,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0019,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0909,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0265,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0246,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0207,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0229,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,-0.006,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0215,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,-0.0007,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.0067,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,-0.0022,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,-0.0006,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.0019,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0023,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,0.0756,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0612,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0831,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0753,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0191,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.1569,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0196,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.009,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.0033,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0166,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0403,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0108,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,-0.0051,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,-0.0131,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,-0.0049,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,-0.0063,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.0222,4
16,n<=128,sr>70%,kvB<=16k,kp=0,-0.0022,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.3304,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.2972,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.2476,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.3364,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.024,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.4519,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,0.0019,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,0.0487,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,0.1026,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.0124,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,0.0681,4
16,n<=128,sr>70%,kvB<=4k,kp=0,0.037,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.0662,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,-0.0072,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,-0.1045,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.1106,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,-0.081,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.1454,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,-0.0415,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,-0.0023,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,-0.0157,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,-0.0726,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.1441,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.494,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,-0.0643,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,-0.0817,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,-0.0786,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.0175,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.0669,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.2011,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.0151,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,-0.0781,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,-0.2105,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.0624,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,-0.2308,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.0924,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,-0.171,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,-0.142,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,-0.058,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,-0.1187,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.1207,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.4734,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,-0.2528,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,-0.2416,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.2302,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,-0.1213,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,-0.1021,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.1121,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.0118,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,-0.1003,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,-0.2733,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.0883,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,-0.2945,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.1074,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,-0.3613,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,-0.3562,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.3869,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,-0.6254,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.1386,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.4529,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,-0.3371,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,-0.3617,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.2287,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,-0.1955,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.3154,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.1885,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.0664,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,-0.2375,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,-0.992,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.1017,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,-1.1674,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.1416,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,-2.0023,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,-1.4925,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.027,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,-2.1661,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.9001,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.1533,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,-1.4623,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,-1.8573,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.9896,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,-0.5659,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,-1.2372,4
16,n<=16,sr>70%,kvB<=4k,kp=0,0.3214,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,-0.0082,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,-0.0086,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,-0.0688,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,-0.1033,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,-1.3789,1
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-2.0372,2
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,-0.8966,1
16,n<=2,sr<=70%,kvB<=1k,kp<=512,-1.2708,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.2827,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.3169,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,-0.0822,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,-0.1411,1
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.5684,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.0581,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,-0.3845,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.1475,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.0239,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.0233,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0129,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0237,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,-0.0635,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.0289,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,-0.073,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,-0.0002,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,-0.02,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.1691,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0521,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.3353,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.0601,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,-0.0361,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,-0.1154,6
