label,status,topology,n_requests,isl,osl,tpot_avg_ms,tpot_p50_ms,tpot_p99_ms,throughput_toks_per_s,interactivity_toks_per_s_per_user,step_time_ms,n_completed,elapsed_s,error
fb_ep32_n001,ok,fb,1,512,20,3.19845,3.19845,3.19845,312.65144054151233,312.65144054151233,3.19845,1,104.34958004951477,
fb_ep32_n004,ok,fb,4,512,20,3.383129,3.201307,3.976481,1182.3374160429591,295.5843540107398,3.383129,4,105.82278275489807,
