tokens,activated_experts,time_us
1,2,252.384
2,2,250.09
2,4,471.402
4,2,255.338
4,4,479.05
4,8,920.595
8,2,256.351
8,4,480.713
8,8,922.804
16,2,259.22
16,4,484.063
16,8,926.121
32,2,431.573
32,4,489.001
32,8,933.555
64,2,429.812
64,4,499.252
64,8,937.314
128,2,398.816
128,4,535.583
128,8,965.383
256,2,774.025
256,4,786.431
256,8,1007.53
512,2,1646.49
512,4,1665.72
512,8,1720.17
1024,2,1803.88
1024,4,1827.7
1024,8,1852.06
2048,2,2771.46
2048,4,2812.76
2048,8,2861.65
