layer,sequences,time_us
lm_head,1,46.1653
lm_head,2,47.5727
lm_head,3,47.4443
lm_head,4,47.52
lm_head,5,46.837
lm_head,6,47.1787
lm_head,7,47.0823
lm_head,8,47.253
lm_head,9,46.3253
lm_head,10,46.9013
lm_head,11,47.3707
lm_head,12,47.0927
lm_head,13,47.9143
lm_head,14,47.04
lm_head,15,47.6053
lm_head,16,46.9223
lm_head,20,47.189
lm_head,24,48.0213
lm_head,28,48.5113
lm_head,32,48.6293
lm_head,36,49.269
lm_head,40,48.576
lm_head,44,48.48
lm_head,48,48.8097
lm_head,52,49.5893
lm_head,56,48.6613
lm_head,60,48.8423
lm_head,64,48.832
lm_head,80,49.8773
lm_head,96,49.7493
lm_head,112,51.4983
lm_head,128,50.5173
lm_head,144,51.8823
lm_head,160,50.528
lm_head,176,51.328
lm_head,192,51.0073
lm_head,208,51.6263
lm_head,224,52.4263
lm_head,240,52.661
lm_head,256,54.1433
sampler,1,15.5093
sampler,2,15.7547
sampler,3,15.573
sampler,4,15.36
sampler,5,15.5093
sampler,6,15.467
sampler,7,15.6273
sampler,8,15.424
sampler,9,15.616
sampler,10,15.584
sampler,11,15.616
sampler,12,15.7653
sampler,13,15.5943
sampler,14,15.7227
sampler,15,15.701
sampler,16,15.36
sampler,20,15.4877
sampler,24,15.52
sampler,28,15.8507
sampler,32,15.8183
sampler,36,17.0667
sampler,40,17.045
sampler,44,17.3013
sampler,48,17.5787
sampler,52,17.408
sampler,56,17.5467
sampler,60,17.909
sampler,64,18.091
sampler,80,19.6587
sampler,96,20.427
sampler,112,21.6107
sampler,128,22.8693
sampler,144,27.0293
sampler,160,28.5543
sampler,176,30.6347
sampler,192,32.4797
sampler,208,35.136
sampler,224,36.7667
sampler,240,39.093
sampler,256,41.1627
