pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0123,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0313,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0014,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0042,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,-0.0036,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0001,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0116,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0725,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0104,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0056,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.1236,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0273,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0979,4
0,n<=128,sr>70%,kvB<=1k,kp=0,-0.1353,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0411,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1033,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.2381,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.1154,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0513,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.1019,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0628,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0359,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,-0.017,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0018,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.9872,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.5345,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.8804,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0625,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.7608,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.0607,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0035,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.028,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,-0.0012,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0092,2
