instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.1-8B,4808,10,0,212309128,212309128,97922877,152848571,6606728,"[6611338, 6611338, 6611434, 6611498, 6611562, 6611658, 6611722, 6611786, 6568221]"
1,2,meta-llama/Llama-3.1-8B,110,27,49094500,368315938,319221438,103754071,153465185,6375240,"[9749443, 6226442, 6227754, 6229066, 6230378, 6231690, 6232970, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
1,4,meta-llama/Llama-3.1-8B,34,12,222497000,460896846,238399846,133557015,170828248,6142872,"[6142346, 6142442, 6142570, 6142666, 6142794, 6142890, 6142986, 6143082, 6143178, 6143274, 6143370]"
2,1,meta-llama/Llama-3.1-8B,3180,8,26000000,247872171,221872171,126848571,176559685,6473212,"[6473002, 6473034, 6473130, 6473194, 6473290, 6473386, 6473450]"
2,3,meta-llama/Llama-3.1-8B,7433,14,70342000,482293890,411951890,285712015,322983248,6843741,"[6843210, 6843306, 6843370, 6843466, 6843562, 6843658, 6843754, 6843818, 6843914, 6844010, 6844106, 6844202, 6844266]"
