req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,REACTIVE,0,2,268435456,1,1000001,1000000,1000000,
,REACTIVE,0,2,268435456,47874175,47874175,0,0,
,REACTIVE,0,2,93323264,98922877,98922877,0,0,
1,REACTIVE,0,3,175112192,98922877,100856109,1933232,1000000,
,REACTIVE,0,3,241696768,155781803,155781803,0,0,
2,REACTIVE,0,2,14417920,155781803,159198770,3416967,1000000,
3,REACTIVE,0,3,12320768,155781803,160342949,4561146,1000000,
,REACTIVE,0,3,268435456,210054063,210054063,0,0,
,REACTIVE,0,3,268435456,257128717,257128717,0,0,
,REACTIVE,0,3,268435456,308395627,308395627,0,0,
,REACTIVE,0,3,156631040,363548393,363548393,0,0,
4,REACTIVE,0,2,4456448,363548393,366114703,2566310,1000000,
5,REACTIVE,0,3,49020928,363548393,367159267,3610874,1000000,
6,REACTIVE,0,3,58327040,363548393,367649476,4101083,0,
,REACTIVE,0,3,268435456,426881999,426881999,0,0,
,REACTIVE,0,3,268435456,474738989,474738989,0,0,
,REACTIVE,0,3,268435456,526743819,526743819,0,0,
,REACTIVE,0,3,51904512,582679209,582679209,0,0,
7,REACTIVE,0,2,4456448,582679209,584198254,1519045,1000000,
8,REACTIVE,0,3,150077440,649657850,650657850,1000000,1000000,
9,REACTIVE,0,2,26345472,677955290,678955290,1000000,1000000,
10,REACTIVE,0,3,17956864,699470113,700470113,1000000,1000000,
11,REACTIVE,0,3,268435456,708296127,708296127,0,0,
,REACTIVE,0,3,268435456,755170301,755170301,0,0,
,REACTIVE,0,3,268435456,806219003,806219003,0,0,
,REACTIVE,0,3,168165376,861151033,861151033,0,0,
12,REACTIVE,0,2,203816960,14740189206,14741189206,1000000,1000000,
13,REACTIVE,0,3,268435456,14790239548,14791239548,1000000,1000000,
,REACTIVE,0,3,241827840,14838113722,14838113722,0,0,
14,REACTIVE,0,3,26607616,14838113722,14840532000,2418278,0,
,REACTIVE,0,3,212860928,14891574366,14891574366,0,0,
15,REACTIVE,0,3,51642368,14891574366,14893702975,2128609,0,
16,REACTIVE,0,3,3932160,14891574366,14894219398,2645032,0,
,REACTIVE,0,3,84541440,14941530320,14941530320,0,0,
17,REACTIVE,0,2,268435456,15089694166,15090694166,1000000,1000000,
,REACTIVE,0,2,268435456,15137568340,15137568340,0,0,
,REACTIVE,0,2,268435456,15188617042,15188617042,0,0,
,REACTIVE,0,2,169345024,15243549072,15243549072,0,0,
18,REACTIVE,0,3,20709376,15243549072,15246242522,2693450,1000000,
19,REACTIVE,0,2,78381056,15243549072,15247449615,3900543,1000000,
,REACTIVE,0,2,268435456,15306486905,15306486905,0,0,
,REACTIVE,0,2,268435456,15354666839,15354666839,0,0,
,REACTIVE,0,2,248119296,15406984405,15406984405,0,0,
20,REACTIVE,0,3,20316160,15406984405,15410465597,3481192,1000000,
,REACTIVE,0,3,79691776,15466717051,15466717051,0,0,
21,REACTIVE,0,2,203948032,15491842080,15492842080,1000000,1000000,
22,REACTIVE,0,3,268435456,15642761486,15643761486,1000000,1000000,
,REACTIVE,0,3,268435456,15690635660,15690635660,0,0,
,REACTIVE,0,3,132644864,15741684362,15741684362,0,0,
23,REACTIVE,0,2,20840448,15741684362,15744010810,2326448,1000000,
24,REACTIVE,0,3,60030976,15741684362,15745219214,3534852,1000000,
25,REACTIVE,0,2,268435456,15820077603,15821077603,1000000,1000000,
,REACTIVE,0,2,54525952,15867951777,15867951777,0,0,
26,REACTIVE,0,3,268435456,15903581157,15904581157,1000000,1000000,
,REACTIVE,0,3,257032192,15951455331,15951455331,0,0,
27,REACTIVE,0,2,213909504,16313699725,16314699725,1000000,1000000,
28,REACTIVE,0,3,268435456,16353995496,16354995496,1000000,1000000,
,REACTIVE,0,3,68026368,16401869670,16401869670,0,0,
29,REACTIVE,0,2,95682560,16540005067,16541005067,1000000,1000000,
