instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
2,0,deepseek-ai/DeepSeek-V3-0324,4808,10,0,190479571,190479571,100845407,135210903,6140963,"[6139557, 6141699, 6139801, 6142004, 6140106, 6142248, 6140289, 6142431, 6140533]"
2,4,deepseek-ai/DeepSeek-V3-0324,34,12,37082833,201652942,164570109,63762574,98128070,6040185,"[6139557, 6141699, 6139801, 6142004, 6140106, 6142248, 6140289, 6142431, 6140533, 5586070, 5587301]"
3,1,deepseek-ai/DeepSeek-V3-0324,3180,8,4333333,148366017,144032684,44714672,100861986,6167242,"[6166685, 6167626, 6166740, 6167809, 6166862, 6167931, 6167045]"
4,2,deepseek-ai/DeepSeek-V3-0324,110,27,8182416,283201745,275019329,92662991,127028487,5691955,"[5680875, 5682737, 5682522, 5684384, 5684169, 5685970, 5685755, 5687495, 5687280, 5689081, 5688805, 5690606, 5690330, 5692070, 5691794, 5693534, 5693258, 5694998, 5694722, 5697255, 5697833, 5700427, 5700944, 5703477, 5703994, 5706527]"
5,3,deepseek-ai/DeepSeek-V3-0324,7433,14,11723666,399604615,387880949,276297104,304576517,6408033,"[6407324, 6408393, 6407385, 6408454, 6407507, 6408515, 6407568, 6408637, 6407629, 6408698, 6407751, 6408759, 6407812]"
