req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,REACTIVE,0,2,268435456,1,10000001,10000000,10000000,
,REACTIVE,0,2,268435456,56874175,56874175,0,0,
,REACTIVE,0,2,93323264,107922877,107922877,0,0,
1,REACTIVE,0,3,175112192,107922877,118856109,10933232,10000000,
,REACTIVE,0,3,241696768,173781803,173781803,0,0,
2,REACTIVE,0,2,14417920,173781803,186198770,12416967,10000000,
3,REACTIVE,0,3,12320768,173781803,196342949,22561146,10000000,
,REACTIVE,0,3,268435456,246054063,246054063,0,0,
,REACTIVE,0,3,268435456,293128717,293128717,0,0,
,REACTIVE,0,3,268435456,344395627,344395627,0,0,
,REACTIVE,0,3,156631040,399548393,399548393,0,0,
4,REACTIVE,0,3,4456448,399548393,401114703,1566310,0,
